ID,TYPE,SEQ,SEGMENT,ISEQ,GEOMETRY,REAL_TIMESTAMP,ACCURACY,USER_ID,UTM32,SLICE1M,SLICE2M,SLICE5M,SLICE15M,SLICE1H,SLICE2H,GRIDX,GRIDY,HIT,HIT2,SEG_DIST,SEG_DIST_COR,SEG_SEC,SEG_MOVE,SEG_SPEED,stay,lowspeed,walk,run,SEG_SPEED_COR,SEG_SPEED_MAX,HITA15,HITMA15
227528853,0,5822,1632,4,0xE6100000010C20FCA521FC252840E4FFA1E5FFD14B40,2016-07-01 09:13:49.000,65,10333,0x787F0000010CCFA7DB45C0292541A8A4CC55C0895741,7010913,7010912,7010910,7010900,7010900,7010800,282,908,NULL,NULL,0,0,277,0,0,1,0,0,0,0,0,NULL,NULL
227528856,0,2882,522,3,0xE6100000010CE0F1C5DEF12528405C5C375D5CCF4B40,2016-06-29 21:18:21.000,5,34074,0x787F0000010C8286B7B9812A2541E829B0FF82875741,6292118,6292118,6292115,6292115,6292100,6292000,292,679,15,NULL,35,0,151,0,0,0,1,0,0,0,0.23178807947,44,2
227528857,1,846,121,5,0xE6100000010C079380E8D32D2840A860914F8FCE4B40,2016-06-29 19:14:00.000,63,15087,0x787F0000010C0000000052322541000000C0DF865741,6291914,6291914,6291910,6291900,6291900,6291800,391,613,10,19,21,0,3364,0,0,0,1,0,0,0,0.00624256837,49,3
227528861,1,982,248,9,0xE6100000010C619003C74E28284097218AC15ECF4B40,2016-07-02 18:13:00.000,78,31161,0x787F0000010C00000000C62C25410000004088875741,7021813,7021812,7021810,7021800,7021800,7021800,320,680,18,NULL,38,0,812,0,0,0,1,0,0,0,0.046798029556,38,2
227528874,1,847,121,6,0xE6100000010C079380E8D32D2840A860914F8FCE4B40,2016-06-29 19:15:00.000,63,15087,0x787F0000010C0000000052322541000000C0DF865741,6291915,6291914,6291915,6291915,6291900,6291800,391,613,10,19,21,0,3364,0,0,0,1,0,0,0,0.00624256837,49,3
227528880,1,983,248,10,0xE6100000010C1677E321512828405DDCFF9F5FCF4B40,2016-07-02 18:14:00.000,78,31161,0x787F0000010C00000000C82C25410000000089875741,7021814,7021814,7021810,7021800,7021800,7021800,321,681,20,1,38,0,812,0,0,0,1,0,0,0,0.046798029556,38,2
227528890,1,5823,1633,1,0xE6100000010C631837D1FB2528406E1E73CCFFD14B40,2016-07-01 09:14:00.000,65,10333,0x787F0000010C00000000C029254100000040C0895741,7010914,7010914,7010910,7010900,7010900,7010800,282,907,NULL,NULL,1,0,141,0,0,1,0,0,0,0,0.007092198581,NULL,NULL
227528900,1,848,121,7,0xE6100000010CDAA291D4D12D284059A0EB528FCE4B40,2016-06-29 19:16:00.000,63,15087,0x787F0000010C0000000050322541000000C0DF865741,6291916,6291916,6291915,6291915,6291900,6291800,391,613,10,19,21,0,3364,0,0,0,1,0,0,0,0.00624256837,49,3
227528903,1,2883,523,1,0xE6100000010CF44EF7E4EF25284088D9ECC95BCF4B40,2016-06-29 21:19:00.000,12,34074,0x787F0000010C00000000802A25410000008082875741,6292119,6292118,6292115,6292115,6292100,6292000,291,678,15,NULL,11,0,300,0,0,1,0,0,0,0,0.036666666666,44,2
227528905,1,190,31,1,0xE6100000010CF4C0EC8FFF2E284026524C272FD04B40,2016-06-25 04:02:00.000,65,22935,0x787F0000010C00000000F43225410000004042885741,6250402,6250402,6250400,6250400,6250400,6250400,400,755,NULL,NULL,4,0,596,0,0,1,0,0,0,0,0.006711409395,NULL,NULL
227528908,1,984,248,11,0xE6100000010C6A94C37C532828407995757E60CF4B40,2016-07-02 18:15:00.000,78,31161,0x787F0000010C00000000CA2C2541000000C089875741,7021815,7021814,7021815,7021815,7021800,7021800,321,681,20,1,38,0,812,0,0,0,1,0,0,0,0.046798029556,38,2
227528914,1,5824,1633,2,0xE6100000010CBB849DB9FB252840F5BF2E81FFD14B40,2016-07-01 09:15:00.000,65,10333,0x787F0000010C00000000C029254100000000C0895741,7010915,7010914,7010915,7010915,7010900,7010800,282,907,NULL,NULL,1,0,141,0,0,1,0,0,0,0,0.007092198581,NULL,NULL
227528918,1,849,121,8,0xE6100000010CA12A43ECD12D28408FCD2F9E8FCE4B40,2016-06-29 19:17:00.000,63,15087,0x787F0000010C000000005032254100000000E0865741,6291917,6291916,6291915,6291915,6291900,6291800,391,613,10,19,21,0,3364,0,0,0,1,0,0,0,0.00624256837,49,3
227528931,0,5825,1633,3,0xE6100000010CF0FE05ECFE25284094FF7995FFD14B40,2016-07-01 09:16:10.000,65,10333,0x787F0000010C5405C30BC32925411A8A9315C0895741,7010916,7010916,7010915,7010915,7010900,7010800,282,908,NULL,NULL,1,0,141,0,0,1,0,0,0,0,0.007092198581,NULL,NULL
182765372,0,2965,649,3,0xE6100000010C80F62C82F62C28408856E68656CE4B40,2016-06-29 18:03:42.000,70,33008,0x787F0000010C5076487B8E312541667AAC60AE865741,6291803,6291802,6291800,6291800,6291800,6291800,382,594,7,NULL,0,0,184,0,0,1,0,0,0,0,0,13,3
182765375,1,2794,522,17,0xE6100000010CEB35080E881F2840AEB03B1AF6D04B40,2016-06-30 08:02:00.000,60,23331,0x787F0000010C00000000DE23254100000000D6885741,6300802,6300802,6300800,6300800,6300800,6300800,206,814,NULL,NULL,4,0,3454,0,0,1,0,0,0,0,0.001158077591,NULL,NULL
182765378,1,414,118,7,0xE6100000010C081BE7CEEA222840B040F4A974CF4B40,2016-06-29 03:50:00.000,31,28234,0x787F0000010C00000000922725410000008093875741,6290350,6290350,6290350,6290345,6290300,6290200,254,685,32,NULL,64,0,609,1,0,0,0,1,0,0,0.105090311986,3,3
182765391,1,2966,650,1,0xE6100000010C944F129FF12C284047AD72D155CE4B40,2016-06-29 18:04:00.000,62,33008,0x787F0000010C000000008A312541000000C0AD865741,6291804,6291804,6291800,6291800,6291800,6291800,381,593,7,NULL,20,0,154,0,0,1,0,0,0,0,0.12987012987,13,3
