ID,TYPE,SEQ,SEGMENT,ISEQ,GEOMETRY,REAL_TIMESTAMP,ACCURACY,USER_ID,UTM32,SLICE1M,SLICE2M,SLICE5M,SLICE15M,SLICE1H,SLICE2H,GRIDX,GRIDY,HIT,HIT2,SEG_DIST,SEG_DIST_COR,SEG_SEC,SEG_MOVE,SEG_SPEED,SEG_SPEED_MAX,SEG_SPEED_COR,stay,lowspeed,walk,run
138379092,1,819,167,10,0xE6100000010C90DFB5643224284004F1B611D7CE4B40,2015-06-29 09:29:00.000,54,35171,0x787F0000010C00000000FC282541000000800F875741,6290929,6290928,6290925,6290915,6290900,6290800,272,632,7,3,70,0,603,1,0,0.116086235489,0,0,0,1,0
138379093,0,820,167,11,0xE6100000010C2FA704C4242428404B3FE1ECD6CE4B40,2015-06-29 09:30:01.000,17,35171,0x787F0000010C734226F4EE282541292C324E0F875741,6290930,6290930,6290930,6290930,6290900,6290800,272,632,7,3,70,0,603,1,0,0.116086235489,0,0,0,1,0
138379107,1,821,168,1,0xE6100000010CA225010824242840CC3993BFD7CE4B40,2015-06-29 09:31:00.000,28,35171,0x787F0000010C00000000EE2825410000000010875741,6290931,6290930,6290930,6290930,6290900,6290800,271,632,7,3,17,0,298,0,0,0.057046979865,0,1,0,0,0
138379126,1,822,168,2,0xE6100000010CDFF7346624242840F445A5ECD8CE4B40,2015-06-29 09:32:00.000,39,35171,0x787F0000010C00000000EE2825410000000011875741,6290932,6290932,6290930,6290930,6290900,6290800,271,633,7,3,17,0,298,0,0,0.057046979865,0,1,0,0,0
138379137,1,823,168,3,0xE6100000010CAFDEDBAC24242840F5CE72CED9CE4B40,2015-06-29 09:33:00.000,50,35171,0x787F0000010C00000000EE282541000000C011875741,6290933,6290932,6290930,6290930,6290900,6290800,271,633,7,3,17,0,298,0,0,0.057046979865,0,1,0,0,0
138379139,0,824,168,4,0xE6100000010C7653CA6B25242840B325AB22DCCE4B40,2015-06-29 09:34:59.000,73,35171,0x787F0000010CA2BE6D04EE282541C825FDBA13875741,6290934,6290934,6290930,6290930,6290900,6290800,272,634,7,3,17,0,298,0,0,0.057046979865,0,1,0,0,0
138379155,1,825,169,1,0xE6100000010C60C2B651252428409B6352DDDBCE4B40,2015-06-29 09:35:00.000,72,35171,0x787F0000010C00000000EE2825410000008013875741,6290935,6290934,6290935,6290930,6290900,6290800,271,634,7,3,20,0,603,0,0,0.033167495854,0,1,0,0,0
138379170,1,826,169,2,0xE6100000010C1DC69C2225242840C25DC946DBCE4B40,2015-06-29 09:36:00.000,66,35171,0x787F0000010C00000000EE2825410000000013875741,6290936,6290936,6290935,6290930,6290900,6290800,271,633,7,3,20,0,603,0,0,0.033167495854,0,1,0,0,0
138379208,1,827,169,3,0xE6100000010C54CD82F324242840E05740B0DACE4B40,2015-06-29 09:37:00.000,59,35171,0x787F0000010C00000000EE2825410000008012875741,6290937,6290936,6290935,6290930,6290900,6290800,271,633,7,3,20,0,603,0,0,0.033167495854,0,1,0,0,0
138379222,1,828,169,4,0xE6100000010C001C62D826242840124B6216DACE4B40,2015-06-29 09:38:00.000,53,35171,0x787F0000010C00000000F02825410000000012875741,6290938,6290938,6290935,6290930,6290900,6290800,271,633,7,3,20,0,603,0,0,0.033167495854,0,1,0,0,0
138379238,1,829,169,5,0xE6100000010C4D1A48A9262428403E45D97FD9CE4B40,2015-06-29 09:39:00.000,47,35171,0x787F0000010C00000000F02825410000008011875741,6290939,6290938,6290935,6290930,6290900,6290800,271,633,7,3,20,0,603,0,0,0.033167495854,0,1,0,0,0
